root1,root2,root3,root4,root5,root6,lowerback1,lowerback2,lowerback3,upperback1,upperback2,upperback3,thorax1,thorax2,thorax3,lowerneck1,lowerneck2,lowerneck3,upperneck1,upperneck2,upperneck3,head1,head2,head3,rclavicle1,rclavicle2,rhumerus1,rhumerus2,rhumerus3,rradius1,rwrist1,rhand1,rhand2,rfingers1,rthumb1,rthumb2,lclavicle1,lclavicle2,lhumerus1,lhumerus2,lhumerus3,lradius1,lwrist1,lhand1,lhand2,lfingers1,lthumb1,lthumb2,rfemur1,rfemur2,rfemur3,rtibia1,rfoot1,rfoot2,rtoes1,lfemur1,lfemur2,lfemur3,ltibia1,lfoot1,lfoot2,ltoes1
15.19,17.8785,17.1506,143.319,-81.8495,-141.532,3.84463,2.10068,0.810891,-0.343684,2.86983,1.80594,-2.56006,1.42555,1.22852,-8.88637,-2.13885,-4.03788,10.9846,-2.77966,3.30253,4.85646,-1.34136,1.4905,-4.54968e-14,-1.12313e-14,-29.0923,-10.6896,-82.8163,22.6078,-8.90046,-15.0485,-23.549,7.12502,11.118,-53.2345,-4.54968e-14,-1.12313e-14,-32.0135,6.83722,83.9625,27.1899,-0.127177,-14.5025,-7.81789,7.12502,11.6446,21.8385,-7.98756,4.82193,24.2601,30.1492,-16.6925,-9.8318,5.11573,-6.75534,2.09921,-15.5438,29.3626,-19.8497,3.06778,8.1989
15.1916,17.8715,17.1543,142.792,-81.6908,-140.908,3.76601,2.17968,1.02529,-0.375468,2.98354,1.80481,-2.53958,1.47908,1.10336,-8.78719,-2.17401,-3.97397,10.9065,-2.8411,3.32869,4.81745,-1.36813,1.4849,1.66358e-14,2.78299e-15,-29.1068,-10.5226,-82.8738,22.74,-9.336,-15.3264,-23.6044,7.12502,10.8499,-53.3041,1.66358e-14,2.78299e-15,-31.9865,6.61451,84.0129,27.1403,-0.0783495,-14.4222,-7.83964,7.12502,11.722,21.8124,-8.34476,2.56441,24.1487,30.3597,-16.7005,-7.92116,3.86515,-6.88228,1.94491,-15.402,29.4309,-19.8281,3.13374,9.3512
15.1957,17.8706,17.1526,144.003,-81.7381,-142.12,3.77481,2.23025,0.761819,-0.363621,3.03963,1.79283,-2.54613,1.51113,1.23454,-8.85727,-2.19518,-3.98216,10.9886,-2.86265,3.28385,4.85487,-1.3813,1.47004,-8.95152e-15,6.55989e-15,-29.0028,-10.4899,-82.7927,22.7281,-9.56214,-14.9829,-23.5922,7.12502,11.1813,-53.2743,-8.95152e-15,6.55989e-15,-31.9443,6.57384,84.0932,27.1368,-0.0579159,-14.402,-7.8452,7.12502,11.7415,21.8057,-8.31527,4.14534,24.1489,30.4272,-16.7872,-9.14329,4.88209,-6.88981,2.12319,-15.5688,29.4143,-19.8059,3.09064,9.36867
15.2008,17.8725,17.1494,145.255,-81.7015,-143.397,3.83739,2.2543,0.518171,-0.369036,3.06265,1.803,-2.60062,1.52635,1.37676,-8.87478,-2.17408,-4.06918,11.0508,-2.82472,3.2936,4.87698,-1.36583,1.48964,-3.54147e-14,-7.7526e-15,-29.0015,-10.4098,-82.7541,22.7826,-9.58981,-15.3525,-23.352,7.12502,10.8247,-53.053,-3.54147e-14,-7.7526e-15,-31.9924,6.66869,84.1007,27.1858,-0.0378896,-14.3885,-7.82562,7.12502,11.7545,21.8246,-8.34979,4.66343,24.071,30.4863,-16.7952,-9.53123,5.13203,-6.90326,2.36316,-15.6815,29.4622,-19.7671,3.11252,8.9918
15.2038,17.8705,17.1516,144.344,-81.5309,-142.591,3.97559,2.22502,0.725648,-0.354411,3.03497,1.83197,-2.65334,1.509,1.28712,-8.83268,-2.12583,-3.961,11.0452,-2.76883,3.23332,4.86367,-1.33831,1.45761,-4.49999e-14,-7.15625e-15,-29.0582,-10.2719,-82.8938,22.8695,-9.43322,-16.0459,-23.0982,7.12502,10.1559,-52.8331,-4.49999e-14,-7.15625e-15,-32.0222,6.89895,83.9423,27.1557,-0.231246,-14.2464,-7.90209,7.12502,11.8915,21.7402,-8.26394,4.38926,24.2736,30.4613,-16.6272,-9.59734,3.02696,-6.80718,2.37558,-15.4715,29.5173,-19.7076,3.20129,8.7403
15.2035,17.8705,17.1548,143.594,-81.6169,-141.919,4.02113,2.14065,0.744447,-0.325594,2.92323,1.82276,-2.64567,1.45285,1.27306,-8.80866,-2.09486,-3.78947,11.0337,-2.73723,3.12002,4.85101,-1.32309,1.39694,2.29845e-16,8.94531e-16,-29.0113,-10.1577,-83.037,22.8743,-9.57113,-15.7035,-23.2106,7.12502,10.4862,-52.929,2.29845e-16,8.94531e-16,-32.0326,7.1269,83.7972,27.1415,-0.445166,-14.1309,-7.96536,7.12502,12.0028,21.6705,-8.13899,3.97962,24.2832,30.4136,-16.5024,-9.41329,1.8259,-6.7976,2.19525,-15.4522,29.6279,-19.6696,3.15365,9.04065
15.205,17.8711,17.1604,142.351,-81.6383,-140.737,4.08471,2.11309,0.929356,-0.283179,2.89523,1.85169,-2.62952,1.43582,1.1998,-8.92776,-2.15371,-3.90572,11.1368,-2.80602,3.17657,4.90775,-1.35713,1.42737,-5.24916e-15,-1.28216e-14,-28.9528,-10.3052,-82.9601,22.9105,-9.63638,-15.6818,-23.0375,7.12502,10.5071,-52.7549,-5.24916e-15,-1.28216e-14,-32.009,7.06802,83.8611,27.1755,-0.441366,-14.162,-7.95555,7.12502,11.9729,21.682,-8.03029,3.83445,24.3859,30.3594,-16.491,-9.14875,3.02842,-6.80893,1.89987,-15.364,29.7364,-19.6376,3.30004,9.31045
15.2104,17.8759,17.1654,141.793,-81.4485,-140.101,4.0818,2.16863,1.20987,-0.296318,2.9827,1.88901,-2.63051,1.47501,1.07595,-9.04656,-2.23797,-4.12943,11.2365,-2.9031,3.30722,4.9673,-1.40479,1.49624,-3.0091e-14,5.26779e-15,-28.941,-10.4088,-82.8468,22.9657,-9.50498,-15.8483,-22.7536,7.12502,10.3465,-52.479,-3.0091e-14,5.26779e-15,-31.9743,6.86192,84.001,27.1902,-0.279248,-14.2474,-7.93836,7.12502,11.8905,21.704,-8.14216,3.86646,24.5445,30.3212,-16.5987,-8.75104,4.80589,-6.92762,1.82812,-15.2021,29.8052,-19.6437,3.61148,8.92895
15.2168,17.8847,17.1664,143.448,-81.3611,-141.617,4.02831,2.22834,1.06915,-0.361785,3.0559,1.82775,-2.67271,1.51372,1.08757,-9.05069,-2.21567,-4.12367,11.2944,-2.88012,3.33982,4.98534,-1.39162,1.50696,2.50282e-14,4.27387e-15,-28.9369,-10.121,-82.9766,22.9828,-9.64625,-15.4745,-22.8675,7.12502,10.707,-52.5747,2.50282e-14,4.27387e-15,-32.0407,6.63978,84.0483,27.2698,0.0527892,-14.3447,-7.87746,7.12502,11.7968,21.7703,-8.36519,3.71707,24.354,30.2951,-16.6664,-8.24744,5.43162,-7.12481,2.01337,-15.349,29.8709,-19.6743,3.64791,8.98854
15.2245,17.8863,17.1696,143.68,-81.3808,-141.89,4.17776,2.23008,1.08171,-0.37724,3.06133,1.74319,-2.76726,1.51561,0.98682,-9.07989,-2.1884,-3.92372,11.3886,-2.86697,3.28361,5.01512,-1.38063,1.4574,6.80837e-15,-4.37326e-15,-28.9549,-10.319,-83.0198,22.9665,-9.20604,-15.0868,-23.0608,7.12502,11.081,-52.7482,6.80837e-15,-4.37326e-15,-32.1,6.34342,84.0256,27.3631,0.310047,-14.354,-7.88706,7.12502,11.7877,21.7612,-8.3645,3.50154,24.2808,30.2869,-16.5916,-8.09736,5.32228,-7.16029,2.25878,-15.3687,29.9271,-19.583,3.27992,9.60785
15.2294,17.8823,17.18,141.759,-81.4511,-140.158,4.42161,2.12235,1.61302,-0.305168,2.94457,1.57655,-2.79299,1.44779,0.519005,-9.04441,-2.15944,-3.71686,11.2974,-2.87033,3.39436,4.97956,-1.3667,1.45835,-2.7159e-14,-7.55382e-15,-29.0123,-10.8026,-83.1315,23.1421,-8.44597,-14.1506,-23.4372,7.12502,11.9838,-53.0741,-2.7159e-14,-7.55382e-15,-32.0645,6.19753,83.7604,27.3947,0.236445,-14.2359,-8.04707,7.12502,11.9016,21.5946,-8.17567,3.25527,24.4292,30.3138,-16.496,-8.16521,5.25604,-7.0085,2.22372,-15.1978,29.934,-19.5469,3.07606,9.97029
15.2333,17.8845,17.1813,142.769,-81.1502,-141.111,4.28075,2.16237,2.04828,-0.215331,3.00788,1.28212,-2.58302,1.47398,-0.0216241,-8.98207,-2.10644,-3.4658,11.0096,-2.85984,3.65608,4.87984,-1.33492,1.50045,-2.86374e-14,-2.78299e-15,-28.9268,-11.1742,-83.5707,23.3886,-8.11731,-13.5125,-23.8333,7.12502,12.5992,-53.4334,-2.86374e-14,-2.78299e-15,-31.8462,6.15947,83.2845,27.3837,0.172439,-14.1659,-8.16809,7.12502,11.9691,21.4697,-8.30603,3.69684,24.519,30.3788,-16.4893,-8.33002,5.0334,-7.01459,2.49689,-15.1322,29.879,-19.6086,3.23551,9.90804
15.2387,17.8879,17.188,144.337,-81.2409,-142.731,4.25458,2.15707,2.05651,-0.102681,2.99343,1.03838,-2.43896,1.46805,-0.271302,-8.97354,-2.10978,-3.41714,10.7859,-2.88784,3.85529,4.81266,-1.33424,1.55273,6.95746e-16,-7.15625e-15,-28.7581,-11.3838,-83.8182,23.4918,-8.15775,-13.6616,-23.9058,7.12502,12.4554,-53.5146,6.95746e-16,-7.15625e-15,-31.6229,6.14186,83.0691,27.3385,0.190099,-14.1422,-8.24378,7.12502,11.992,21.3927,-8.30702,4.29181,24.284,30.4692,-16.5445,-8.78117,5.02655,-6.93704,2.47122,-15.4543,29.7838,-19.5631,3.36214,10.0802
15.2438,17.8924,17.1997,145.711,-81.5721,-144.171,4.33442,2.10768,1.8111,-0.0670939,2.91543,0.937011,-2.45535,1.43218,-0.236259,-8.94504,-2.11876,-3.53257,10.7112,-2.88613,3.89269,4.78699,-1.3359,1.58362,-3.25634e-14,-2.14687e-14,-28.7243,-11.1796,-83.8335,23.5956,-8.4187,-13.8234,-23.9382,7.12502,12.2994,-53.5565,-3.25634e-14,-2.14687e-14,-31.5953,6.22604,83.0819,27.3078,0.00413775,-13.9334,-8.44472,7.12502,12.1934,21.1799,-8.31122,4.40436,23.8633,30.5716,-16.6177,-8.81649,5.90769,-6.87473,2.2072,-15.927,29.675,-19.4674,3.36095,10.5741
15.2483,17.8944,17.2159,144.539,-81.8427,-143.016,4.45013,1.99546,2.00249,-0.0942104,2.77832,0.89826,-2.53936,1.36016,-0.379409,-8.90996,-2.09767,-3.53837,10.7504,-2.85534,3.85732,4.79154,-1.32375,1.576,-6.21202e-17,8.74653e-15,-28.7852,-11.0107,-83.8628,23.6694,-8.58466,-13.8481,-23.9568,7.12502,12.2756,-53.5765,-6.21202e-17,8.74653e-15,-31.6411,6.42009,83.0067,27.2696,-0.399117,-13.6558,-8.70533,7.12502,12.461,20.9032,-8.35903,3.99319,23.7574,30.6813,-16.7258,-8.71475,5.56314,-6.87845,1.86839,-16.0169,29.5746,-19.2835,3.39944,10.786
15.254,17.8938,17.2191,144.215,-81.5867,-142.664,4.51228,2.05642,2.19625,-0.118935,2.87243,0.942066,-2.59066,1.40368,-0.451489,-8.86787,-2.10408,-3.65899,10.7244,-2.86582,3.99968,4.78059,-1.32569,1.63947,3.12837e-14,9.54166e-15,-28.8282,-10.9239,-83.9031,23.7116,-8.68148,-14.3229,-23.781,7.12502,11.8178,-53.4276,3.12837e-14,9.54166e-15,-31.6527,6.31085,83.0788,27.3021,-0.22854,-13.6986,-8.50635,7.12502,12.4197,21.1047,-8.47618,3.94292,23.934,30.8005,-16.5403,-8.72672,4.03939,-6.85926,2.08762,-15.8066,29.4898,-19.1534,3.43661,10.8253
15.2616,17.8911,17.228,144.607,-81.705,-143.172,4.67227,2.02434,2.15682,-0.0578631,2.82964,0.896547,-2.618,1.38252,-0.478467,-8.89386,-2.1282,-3.784,10.7047,-2.89428,4.12002,4.78353,-1.33692,1.69502,-7.85199e-15,1.07344e-14,-28.7724,-10.6329,-83.994,23.7866,-8.79673,-14.9083,-23.7184,7.12502,11.2532,-53.3965,-7.85199e-15,1.07344e-14,-31.642,5.59217,83.4471,27.5074,0.863454,-14.2362,-7.881,7.12502,11.9014,21.7607,-8.43591,3.71659,23.7399,30.891,-16.348,-8.38669,4.86495,-6.77254,2.19234,-15.9616,29.4587,-19.0626,3.28015,10.4641
15.271,17.8908,17.2327,146.488,-81.9603,-145.181,4.78281,1.93246,1.85048,0.0236975,2.68849,0.728228,-2.60496,1.31629,-0.473462,-8.93025,-2.03337,-3.53834,10.7709,-2.78048,3.94903,4.79962,-1.28135,1.60947,-1.56046e-14,-1.15295e-14,-28.6251,-10.2697,-84.2927,23.834,-8.88748,-14.568,-23.9182,7.12502,11.5814,-53.5782,-1.56046e-14,-1.15295e-14,-31.7024,4.83591,83.6117,27.8138,1.96492,-14.878,-7.42768,7.12502,11.2825,22.2489,-8.38596,3.59174,23.2844,30.9373,-16.2278,-8.03052,6.21992,-6.70517,2.34012,-16.3752,29.4545,-18.9564,3.11713,9.33655
15.2809,17.8932,17.2366,146.587,-81.9767,-145.287,4.75177,1.85344,1.83753,0.0775234,2.57965,0.69391,-2.53329,1.26298,-0.49183,-8.76066,-1.93129,-3.29016,10.6096,-2.65036,3.74116,4.71049,-1.22234,1.51501,3.27249e-14,0,-28.4788,-10.079,-84.4954,23.8345,-8.94587,-14.1402,-23.9074,7.12502,11.9939,-53.5438,3.27249e-14,0,-31.7234,4.63633,83.5874,27.9701,2.35912,-15.0971,-7.29911,7.12502,11.0711,22.3889,-8.41459,3.89487,23.2976,30.9582,-16.0161,-8.51822,4.95807,-6.73815,2.46248,-16.4022,29.4348,-18.8397,3.0908,8.21809
15.2924,17.8983,17.2423,144.571,-81.803,-143.196,4.79652,1.87137,1.92232,0.0369513,2.61589,1.00295,-2.61021,1.27962,-0.226968,-8.53827,-1.99588,-3.55884,10.4554,-2.69853,3.70933,4.63076,-1.26084,1.54765,1.49585e-14,1.78906e-14,-28.5217,-9.93356,-84.1275,23.9378,-9.18506,-13.8505,-23.7345,7.12502,12.2732,-53.3543,1.49585e-14,1.78906e-14,-31.7524,4.87821,83.8779,27.9681,2.23602,-15.0035,-7.22665,7.12502,11.1614,22.4565,-8.4711,4.72777,23.7637,30.9468,-15.8701,-9.43526,4.12566,-6.8585,2.45574,-16.0438,29.4255,-18.7562,3.16167,9.15914
15.3045,17.9041,17.2442,144.072,-81.6795,-142.613,4.91048,1.94958,1.71529,-0.0498917,2.71946,1.28158,-2.78516,1.33294,0.161246,-8.43164,-2.09065,-3.96202,10.4829,-2.79175,3.82342,4.63205,-1.31699,1.64326,-3.1644e-14,-1.47101e-14,-28.6372,-9.89392,-83.6625,24.0769,-9.42909,-13.302,-23.842,7.12502,12.8021,-53.4294,-3.1644e-14,-1.47101e-14,-31.7547,5.37282,84.1105,27.7711,1.83153,-15.0585,-7.23978,7.12502,11.1083,22.4462,-8.54891,5.32141,23.9628,30.8732,-15.7097,-9.75617,4.85163,-7.03214,2.58597,-15.8911,29.4798,-18.67,3.27745,8.74944
15.3157,17.9061,17.2449,144.521,-81.6943,-143.035,4.98322,1.9796,1.54781,-0.0678463,2.75287,1.2955,-2.85276,1.3516,0.263426,-8.38169,-2.10998,-4.01112,10.4648,-2.82156,3.89465,4.62099,-1.33005,1.67174,7.87684e-15,-6.75868e-15,-28.6108,-10.1392,-83.5441,24.0403,-9.22849,-13.2981,-23.8186,7.12502,12.8058,-53.4059,7.87684e-15,-6.75868e-15,-31.5553,6.19157,83.8872,27.2752,0.921782,-15.0676,-7.62925,7.12502,11.0996,22.0572,-8.59512,5.35388,23.8957,30.7875,-15.5284,-9.71689,5.36999,-7.15384,2.72609,-15.9484,29.5417,-18.5576,3.30529,7.79769
15.328,17.9067,17.2508,143.684,-81.7082,-142.227,5.07965,1.93305,1.64249,-0.0294209,2.69711,1.29015,-2.86291,1.32211,0.206403,-8.38967,-2.10002,-3.82661,10.4717,-2.8141,3.74385,4.61948,-1.32796,1.59543,-2.68608e-14,5.96354e-15,-28.5412,-10.1159,-83.6593,24.0005,-9.05127,-14.0869,-23.7044,7.12502,12.0453,-53.3377,-2.68608e-14,5.96354e-15,-31.302,6.98268,83.5976,26.8639,0.0301446,-14.659,-7.96175,7.12502,11.4936,21.7032,-8.58613,5.20121,23.9702,30.7466,-15.4838,-9.63614,5.61961,-7.19301,2.68759,-15.8475,29.5776,-18.4859,3.07482,8.34839
15.3401,17.9133,17.2599,143.169,-81.7185,-141.724,5.12382,1.9027,1.51699,0.0227183,2.6516,1.43375,-2.84679,1.30163,0.426791,-8.3539,-2.11561,-3.87628,10.4824,-2.81032,3.58065,4.61513,-1.33795,1.55361,1.21756e-15,-1.31198e-14,-28.5653,-9.68332,-83.6645,24.2245,-9.27982,-14.9133,-23.7582,7.12502,11.2483,-53.4366,1.21756e-15,-1.31198e-14,-31.1994,7.34332,83.7078,26.814,-0.189418,-14.273,-7.83123,7.12502,11.8658,21.8126,-8.64871,5.01871,23.9803,30.763,-15.4407,-9.42509,5.65819,-7.24162,2.75326,-15.7978,29.5986,-18.3533,2.91897,8.38431
15.352,17.9167,17.2703,142.993,-81.7713,-141.559,5.11348,1.94928,1.07837,0.107205,2.69206,1.78175,-2.79101,1.32891,1.02848,-8.32663,-2.21894,-4.37064,10.4727,-2.88458,3.57808,4.61775,-1.39374,1.62863,9.59757e-15,-4.27387e-15,-28.6151,-9.50209,-83.1445,24.6066,-9.25021,-15.0774,-23.8526,7.12502,11.0901,-53.5396,9.59757e-15,-4.27387e-15,-31.2131,7.35795,84.3314,26.9855,-0.0639285,-14.142,-7.72357,7.12502,11.9922,21.9129,-8.74899,4.82769,23.9038,30.8293,-15.374,-9.26467,5.72903,-7.30495,2.84592,-15.8533,29.5933,-18.1812,2.99441,7.41206
15.3625,17.9125,17.2795,142.929,-81.8201,-141.567,5.42325,1.8092,1.83827,0.0427555,2.54788,1.19471,-2.96931,1.24317,-0.000588573,-8.29961,-2.19348,-4.17828,10.5512,-2.96286,4.24091,4.64694,-1.38761,1.79729,2.36554e-14,-1.19271e-15,-28.6494,-10.1625,-83.8092,24.6119,-8.82392,-14.6618,-23.7726,7.12502,11.4909,-53.4376,2.36554e-14,-1.19271e-15,-31.812,3.91753,84.4972,28.3134,3.17319,-14.3067,-7.01783,7.12502,11.8334,22.6278,-8.76582,4.65527,23.8121,30.933,-15.4433,-9.02868,6.4691,-7.29392,2.89751,-15.9377,29.5654,-18.0621,3.12955,7.19411
15.3727,17.9105,17.286,143.893,-81.9101,-142.604,5.54086,1.78968,1.80602,0.0931208,2.51834,1.05311,-2.97857,1.2284,-0.128943,-8.30954,-2.28951,-4.35284,10.5671,-3.11278,4.58348,4.66792,-1.44822,1.92167,1.95803e-14,1.86858e-14,-28.4084,-10.0126,-83.9256,24.4482,-9.27998,-14.3122,-23.2781,7.12502,11.828,-52.9241,1.95803e-14,1.86858e-14,-31.2512,6.4948,83.5236,27.2969,0.530233,-13.8599,-7.90983,7.12502,12.2642,21.7106,-8.80383,4.54147,23.5709,31.0767,-15.582,-8.84699,6.28602,-7.25079,2.95022,-16.1676,29.5127,-17.9196,3.27483,7.05898
15.3859,17.9116,17.2965,144.559,-81.9907,-143.217,5.51282,1.81749,1.56504,0.145528,2.54051,1.15289,-2.92347,1.24379,0.108465,-8.25945,-2.46829,-4.72306,10.534,-3.32675,4.75112,4.66816,-1.55844,2.02003,2.67241e-14,8.74653e-15,-28.2539,-9.93779,-83.6485,24.4635,-9.48692,-14.1032,-23.0531,7.12502,12.0296,-52.6874,2.67241e-14,8.74653e-15,-31.944,3.04187,84.9414,28.9364,4.07961,-14.2621,-6.86693,7.12502,11.8764,22.7762,-9.01113,4.33375,23.3745,31.243,-15.5548,-8.85754,4.69467,-7.33723,2.93545,-16.3463,29.4384,-17.7266,3.32539,6.87927
15.3973,17.9202,17.311,144.72,-81.9897,-143.262,5.42442,1.87109,1.5622,0.173077,2.60987,1.20152,-2.84736,1.27911,0.15837,-8.02232,-2.68819,-5.1044,10.2909,-3.61122,5.04906,4.57999,-1.69894,2.158,2.1506e-14,-7.55382e-15,-28.2119,-10.4648,-83.3349,24.5509,-8.94273,-14.1169,-23.5251,7.12502,12.0164,-53.1601,2.1506e-14,-7.55382e-15,-30.9926,6.74128,83.938,27.2789,0.297794,-13.6958,-8.07357,7.12502,12.4224,21.5373,-9.23639,3.93372,23.2691,31.3512,-15.5352,-8.48401,4.54877,-7.50163,3.00342,-16.3916,29.4027,-17.5954,3.1646,7.47096
15.4099,17.9283,17.3211,145.301,-81.9744,-143.841,5.47424,1.96,1.48046,0.224671,2.72285,1.19864,-2.82493,1.33652,0.191628,-7.7992,-2.95604,-5.31071,10.0169,-3.97886,5.32646,4.48761,-1.87515,2.2558,-9.86469e-15,-3.97569e-15,-28.1291,-10.7451,-83.2214,24.5764,-8.75603,-14.5061,-23.9174,7.12502,11.6411,-53.5741,-9.86469e-15,-3.97569e-15,-31.5133,3.35215,85.1498,28.7254,3.56083,-14.1857,-7.10926,7.12502,11.95,22.5297,-9.32967,3.70803,23.1305,31.3868,-15.4927,-7.9838,5.78914,-7.57162,3.0718,-16.4804,29.4254,-17.5937,3.10584,8.04101
15.4255,17.9217,17.3261,145.18,-81.9243,-143.796,5.66005,2.00102,1.40989,0.271141,2.77633,1.23592,-2.88601,1.36336,0.259111,-7.75155,-3.21164,-5.29742,10.0037,-4.33575,5.38954,4.49635,-2.04757,2.24977,4.96962e-15,-1.61016e-14,-28.1247,-10.4442,-83.3206,24.755,-9.40802,-15.4113,-23.987,7.12502,10.768,-53.691,4.96962e-15,-1.61016e-14,-30.6828,6.62164,84.1619,27.207,0.00931364,-13.8881,-8.12788,7.12502,12.237,21.4941,-9.3503,4.16193,23.2094,31.4108,-15.3247,-8.37525,5.73756,-7.55959,3.01569,-16.4738,29.4455,-17.5825,3.2622,7.88782
